SalesOrderID,OrderDate,DueDate,ShipDate,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,SubTotal,Freight,TotalDue
43659,01-07-2017,07-07-2017,07-07-2017,SO43659,PO522145787,10-4020-000676,676,279,20565.6,616.1,21181.7
43660,02-07-2017,07-07-2017,06-07-2017,SO43660,PO18850127500,10-4020-000117,117,279,1294.25,38.83,1333.08
43661,03-07-2017,10-07-2017,11-07-2017,SO43661,PO18473189620,10-4020-000442,442,282,32726.44,985.55,33711.99
43662,03-07-2017,10-07-2017,06-07-2017,SO43662,PO18444174044,10-4020-000227,227,282,28832.52,867.24,29699.76
43663,04-07-2017,11-07-2017,11-07-2017,SO43663,PO18009186470,10-4020-000510,510,276,419.46,12.58,432.04
43664,05-07-2017,12-07-2017,11-07-2017,SO43664,PO16617121983,10-4020-000397,397,280,24432.56,732.81,25165.37
43665,05-07-2017,12-07-2017,14-07-2017,SO43665,PO16588191572,10-4020-000146,146,283,14352.76,429.98,14782.74
43666,07-07-2017,14-07-2017,13-07-2017,SO43666,PO16008173883,10-4020-000511,511,276,5056.49,151.99,5208.48
43667,07-07-2017,14-07-2017,14-07-2017,SO43667,PO15428132599,10-4020-000646,646,277,6107.07,183.16,6290.23
43668,07-07-2017,14-07-2017,13-07-2017,SO43668,PO14732180295,10-4020-000514,514,282,35944.19,1081.8,37025.99
43669,08-07-2017,14-07-2017,12-07-2017,SO43669,PO14123169936,10-4020-000578,578,283,714.7,22.04,736.74
43670,10-07-2017,17-07-2017,12-07-2017,SO43670,PO14384116310,10-4020-000504,504,275,6122.07,183.61,6305.68
43671,11-07-2017,18-07-2017,17-07-2017,SO43671,PO13978119376,10-4020-000200,200,283,8128.79,244,8372.79
43672,11-07-2017,18-07-2017,17-07-2017,SO43672,PO13862153537,10-4020-000119,119,282,6124.17,183.63,6307.8
43673,11-07-2017,18-07-2017,17-07-2017,SO43673,PO13775141242,10-4020-000618,618,275,3746.23,111.86,3858.09
43674,11-07-2017,18-07-2017,19-07-2017,SO43674,PO12760141756,10-4020-000083,83,282,2624.37,78.73,2703.1
43675,11-07-2017,18-07-2017,14-07-2017,SO43675,PO12412186464,10-4020-000670,670,277,5716.33,170.9,5887.23
43676,13-07-2017,20-07-2017,19-07-2017,SO43676,PO11861165059,10-4020-000017,17,275,14203.43,426.02,14629.45
43677,14-07-2017,21-07-2017,20-07-2017,SO43677,PO11049174786,10-4020-000679,679,278,7793.14,233.47,8026.61
43678,14-07-2017,21-07-2017,19-07-2017,SO43678,PO10817150168,10-4020-000203,203,281,9799.96,294.4,10094.36
43679,15-07-2017,21-07-2017,19-07-2017,SO43679,PO10527142759,10-4020-000480,480,278,1316.06,39.31,1355.37
43680,15-07-2017,21-07-2017,21-07-2017,SO43680,PO10730130087,10-4020-000491,491,281,11397.53,341.76,11739.29
43681,15-07-2017,21-07-2017,20-07-2017,SO43681,PO1189177803,10-4020-000423,423,279,13787.57,413.46,14201.03
43682,15-07-2017,21-07-2017,21-07-2017,SO43682,PO1566124200,10-4020-000486,486,275,3875.72,116.19,3991.91
43683,16-07-2017,21-07-2017,19-07-2017,SO43683,PO2552113807,10-4020-000506,506,283,42813.38,1283.48,44096.86
43684,17-07-2017,24-07-2017,24-07-2017,SO43684,PO3393188842,10-4020-000549,549,279,5596.46,167.89,5764.35
43685,18-07-2017,25-07-2017,21-07-2017,SO43685,PO4176124783,10-4020-000458,458,279,2736.57,82.25,2818.82
43686,19-07-2017,26-07-2017,28-07-2017,SO43686,PO5075125561,10-4020-000344,344,283,3463.29,103.9,3567.19
43687,19-07-2017,26-07-2017,27-07-2017,SO43687,PO4959110829,10-4020-000269,269,275,1258.38,37.75,1296.13
43688,20-07-2017,27-07-2017,26-07-2017,SO43688,PO5365136389,10-4020-000161,161,275,12718.08,382.15,13100.23
43689,21-07-2017,28-07-2017,27-07-2017,SO43689,PO5626159507,10-4020-000166,166,277,33997.39,1022.34,35019.73
43690,23-07-2017,28-07-2017,25-07-2017,SO43690,PO6235146326,10-4020-000431,431,275,1297.6,38.81,1336.41
43691,24-07-2017,31-07-2017,27-07-2017,SO43691,PO6409111675,10-4020-000292,292,277,874.79,26.24,901.03
43692,25-07-2017,01-08-2017,01-08-2017,SO43692,PO7859187017,10-4020-000221,221,281,38510.9,1155.12,39666.02
43693,26-07-2017,02-08-2017,04-08-2017,SO43693,PO8120182325,10-4020-000485,485,275,20541.38,615.49,21156.87
43694,26-07-2017,02-08-2017,01-08-2017,SO43694,PO9657130250,10-4020-000315,315,279,20645.62,618.23,21263.85
43695,28-07-2017,04-08-2017,03-08-2017,SO43695,PO10179176559,10-4020-000027,27,279,39373.69,1183.58,40557.27
43696,30-07-2017,04-08-2017,08-08-2017,SO43696,PO9947131800,10-4020-000603,603,279,419.46,12.58,432.04
43843,01-08-2017,08-08-2017,04-08-2017,SO43843,PO19923118772,10-4020-000018,18,275,32940.08,991.94,33932.02
43844,01-08-2017,08-08-2017,07-08-2017,SO43844,PO19691138342,10-4020-000353,353,282,20249.9,607.5,20857.4
43845,02-08-2017,09-08-2017,04-08-2017,SO43845,PO19546184286,10-4020-000206,206,279,8580.09,257.4,8837.49
43846,02-08-2017,09-08-2017,09-08-2017,SO43846,PO19430112391,10-4020-000318,318,278,919.53,28.33,947.86
43847,02-08-2017,09-08-2017,08-08-2017,SO43847,PO19227161888,10-4020-000210,210,278,908.82,27.17,935.99
43848,02-08-2017,09-08-2017,04-08-2017,SO43848,PO18908190536,10-4020-000164,164,283,18269.91,548.1,18818.01
43849,03-08-2017,10-08-2017,07-08-2017,SO43849,PO18676186169,10-4020-000697,697,268,20544.67,615.62,21160.29
43850,03-08-2017,10-08-2017,07-08-2017,SO43850,PO18415143340,10-4020-000191,191,282,10183.79,307.17,10490.96
43851,03-08-2017,10-08-2017,10-08-2017,SO43851,PO18386167654,10-4020-000558,558,275,6783.79,203.59,6987.38
43852,03-08-2017,10-08-2017,09-08-2017,SO43852,PO17864179720,10-4020-000568,568,282,2024.99,60.75,2085.74
43853,03-08-2017,10-08-2017,09-08-2017,SO43853,PO18270155899,10-4020-000011,11,282,26354.87,790.65,27145.52
43854,04-08-2017,11-08-2017,09-08-2017,SO43854,PO17777139245,10-4020-000208,208,282,1749.58,52.49,1802.07
43855,04-08-2017,11-08-2017,09-08-2017,SO43855,PO17748116016,10-4020-000102,102,278,10993.37,330.85,11324.22
43856,04-08-2017,11-08-2017,11-08-2017,SO43856,PO17313123131,10-4020-000389,389,282,2036.39,61.06,2097.45
43857,04-08-2017,11-08-2017,10-08-2017,SO43857,PO16733124458,10-4020-000533,533,282,7186.55,215.33,7401.88
43858,04-08-2017,11-08-2017,10-08-2017,SO43858,PO16791124272,10-4020-000036,36,275,13694.35,411.58,14105.93
43859,05-08-2017,11-08-2017,09-08-2017,SO43859,PO16762199940,10-4020-000259,259,276,3911.59,117.26,4028.85
43860,05-08-2017,11-08-2017,08-08-2017,SO43860,PO16646146654,10-4020-000001,1,280,10993.39,330.4,11323.79
43861,06-08-2017,11-08-2017,09-08-2017,SO43861,PO16327172067,10-4020-000584,584,279,23401.17,701.38,24102.55
43862,07-08-2017,14-08-2017,10-08-2017,SO43862,PO16211194171,10-4020-000099,99,279,31000.71,933.71,31934.42
43863,08-08-2017,15-08-2017,14-08-2017,SO43863,PO15747169584,10-4020-000471,471,277,1718.9,51.55,1770.45
43864,08-08-2017,15-08-2017,16-08-2017,SO43864,PO16037151094,10-4020-000384,384,276,38474.28,1157.47,39631.75
43865,08-08-2017,15-08-2017,11-08-2017,SO43865,PO15689147174,10-4020-000328,328,277,13196.07,396.33,13592.4
43866,09-08-2017,16-08-2017,18-08-2017,SO43866,PO14529112624,10-4020-000289,289,280,4076.38,122.26,4198.64
43867,10-08-2017,17-08-2017,15-08-2017,SO43867,PO14471123403,10-4020-000145,145,280,32672.99,984.15,33657.14
43868,11-08-2017,18-08-2017,21-08-2017,SO43868,PO14848158712,10-4020-000478,478,282,2146.96,64.41,2211.37
43869,12-08-2017,18-08-2017,21-08-2017,SO43869,PO14500145975,10-4020-000650,650,276,49193.88,1479.56,50673.44
